[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4f4c4b1a
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4fa1c212
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@4fa1c212
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@352ff4da
[DEBUG] 2018-02-12 17:20:28.052 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@352ff4da
[DEBUG] 2018-02-12 17:20:28.053 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1cd629b3
[DEBUG] 2018-02-12 17:20:28.053 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1cd629b3
[DEBUG] 2018-02-12 17:20:28.053 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1cb346ea
[DEBUG] 2018-02-12 17:20:28.053 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1cb346ea
[DEBUG] 2018-02-12 17:20:28.053 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@e3c0e40
[DEBUG] 2018-02-12 17:20:28.054 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@e3c0e40
